object_id	name	taxonomy
13860	ACCESORIOS DE BAÑO	product_cat
13983	ACCESORIOS DE BAÑO	product_cat
14262	ACCESORIOS DE BAÑO	product_cat
14475	ACCESORIOS DE BAÑO	product_cat
14476	ACCESORIOS DE BAÑO	product_cat
14514	ACCESORIOS DE BAÑO	product_cat
14559	ACCESORIOS DE BAÑO	product_cat
14667	ACCESORIOS DE BAÑO	product_cat
14666	ACCESORIOS DE BAÑO	product_cat
14680	ACCESORIOS DE BAÑO	product_cat
14690	ACCESORIOS DE BAÑO	product_cat
14693	ACCESORIOS DE BAÑO	product_cat
14809	ACCESORIOS DE BAÑO	product_cat
14813	ACCESORIOS DE BAÑO	product_cat
15005	ACCESORIOS DE BAÑO	product_cat
15236	ACCESORIOS DE BAÑO	product_cat
15226	ACCESORIOS DE BAÑO	product_cat
15576	ACCESORIOS DE BAÑO	product_cat
15581	ACCESORIOS DE BAÑO	product_cat
15648	ACCESORIOS DE BAÑO	product_cat
15718	ACCESORIOS DE BAÑO	product_cat
15723	ACCESORIOS DE BAÑO	product_cat
15746	ACCESORIOS DE BAÑO	product_cat
15750	ACCESORIOS DE BAÑO	product_cat
15840	ACCESORIOS DE BAÑO	product_cat
16466	ACCESORIOS DE BAÑO	product_cat
16476	ACCESORIOS DE BAÑO	product_cat
16479	ACCESORIOS DE BAÑO	product_cat
16529	ACCESORIOS DE BAÑO	product_cat
16584	ACCESORIOS DE BAÑO	product_cat
16589	ACCESORIOS DE BAÑO	product_cat
16804	ACCESORIOS DE BAÑO	product_cat
16819	ACCESORIOS DE BAÑO	product_cat
16825	ACCESORIOS DE BAÑO	product_cat
16830	ACCESORIOS DE BAÑO	product_cat
16831	ACCESORIOS DE BAÑO	product_cat
16842	ACCESORIOS DE BAÑO	product_cat
16854	ACCESORIOS DE BAÑO	product_cat
16855	ACCESORIOS DE BAÑO	product_cat
16915	ACCESORIOS DE BAÑO	product_cat
16916	ACCESORIOS DE BAÑO	product_cat
16964	ACCESORIOS DE BAÑO	product_cat
16988	ACCESORIOS DE BAÑO	product_cat
17017	ACCESORIOS DE BAÑO	product_cat
17018	ACCESORIOS DE BAÑO	product_cat
17049	ACCESORIOS DE BAÑO	product_cat
17050	ACCESORIOS DE BAÑO	product_cat
17052	ACCESORIOS DE BAÑO	product_cat
17057	ACCESORIOS DE BAÑO	product_cat
17058	ACCESORIOS DE BAÑO	product_cat
17084	ACCESORIOS DE BAÑO	product_cat
17093	ACCESORIOS DE BAÑO	product_cat
17104	ACCESORIOS DE BAÑO	product_cat
17105	ACCESORIOS DE BAÑO	product_cat
17167	ACCESORIOS DE BAÑO	product_cat
17249	ACCESORIOS DE BAÑO	product_cat
17289	ACCESORIOS DE BAÑO	product_cat
17317	ACCESORIOS DE BAÑO	product_cat
17319	ACCESORIOS DE BAÑO	product_cat
17335	ACCESORIOS DE BAÑO	product_cat
17428	ACCESORIOS DE BAÑO	product_cat
17439	ACCESORIOS DE BAÑO	product_cat
17461	ACCESORIOS DE BAÑO	product_cat
17462	ACCESORIOS DE BAÑO	product_cat
17463	ACCESORIOS DE BAÑO	product_cat
17464	ACCESORIOS DE BAÑO	product_cat
17492	ACCESORIOS DE BAÑO	product_cat
17493	ACCESORIOS DE BAÑO	product_cat
17494	ACCESORIOS DE BAÑO	product_cat
17495	ACCESORIOS DE BAÑO	product_cat
17497	ACCESORIOS DE BAÑO	product_cat
17498	ACCESORIOS DE BAÑO	product_cat
17590	ACCESORIOS DE BAÑO	product_cat
